Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00    29714     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >(__gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > > const&)
  0.00      0.02     0.00    29620     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::operator*() const
  0.00      0.02     0.00    28053     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::operator++()
  0.00      0.02     0.00    11978     0.00     0.00  __gnu_cxx::__aligned_membuf<long>::_M_ptr() const
  0.00      0.02     0.00    11978     0.00     0.00  __gnu_cxx::__aligned_membuf<long>::_M_addr() const
  0.00      0.02     0.00    11978     0.00     0.00  std::_Rb_tree_node<long>::_M_valptr() const
  0.00      0.02     0.00    10908     0.00     0.00  long&& std::forward<long>(std::remove_reference<long>::type&)
  0.00      0.02     0.00     9866     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.02     0.00     9600     0.00     0.00  std::_Identity<long>::operator()(long const&) const
  0.00      0.02     0.00     9125     0.00     0.00  std::less<long>::operator()(long const&, long const&) const
  0.00      0.02     0.00     9125     0.00     0.00  std::_Rb_tree<long, long, std::_Identity<long>, std::less<long>, std::allocator<long> >::_S_key(std::_Rb_tree_node<long> const*)
  0.00      0.02     0.00     9120     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.02     0.00     8462     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.02     0.00     7613     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      0.02     0.00     6278     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.02     0.00     6130     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00     5996     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const
  0.00      0.02     0.00     5536     0.00     0.00  std::_Rb_tree<long, long, std::_Identity<long>, std::less<long>, std::allocator<long> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.02     0.00     4560     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::max_size() const
  0.00      0.02     0.00     3988     0.00     0.00  std::_Rb_tree<long, long, std::_Identity<long>, std::less<long>, std::allocator<long> >::_M_get_Node_allocator()
